******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : *hauawc

word : amah anchor( col :  7 row : 7 ) score : 12 new tiles : amah    Heuristic : 5.5
word : um anchor( col :  7 row : 7 ) score : 2 new tiles : um    Heuristic : -2
word : hum anchor( col :  7 row : 7 ) score : 10 new tiles : hum    Heuristic : 5.5
word : chum anchor( col :  7 row : 7 ) score : 16 new tiles : chum    Heuristic : 10
word : huma anchor( col :  7 row : 7 ) score : 12 new tiles : huma    Heuristic : 9.5
word : caum anchor( col :  7 row : 7 ) score : 10 new tiles : caum    Heuristic : 8.5
word : cum anchor( col :  7 row : 7 ) score : 8 new tiles : cum    Heuristic : 4.5
word : hawm anchor( col :  7 row : 7 ) score : 18 new tiles : hawm    Heuristic : 15.5
word : cwm anchor( col :  7 row : 7 ) score : 14 new tiles : cwm    Heuristic : 8.5
word : ma anchor( col :  7 row : 7 ) score : 2 new tiles : ma    Heuristic : -2
word : mahua anchor( col :  7 row : 7 ) score : 16 new tiles : mahua    Heuristic : 10.5
word : maha anchor( col :  7 row : 7 ) score : 12 new tiles : maha    Heuristic : 5.5
word : mahwa anchor( col :  7 row : 7 ) score : 22 new tiles : mahwa    Heuristic : 19.5
word : maa anchor( col :  7 row : 7 ) score : 4 new tiles : maa    Heuristic : -3
word : maw anchor( col :  7 row : 7 ) score : 10 new tiles : maw    Heuristic : 10
word : mac anchor( col :  7 row : 7 ) score : 8 new tiles : mac    Heuristic : 4.5
word : mach anchor( col :  7 row : 7 ) score : 16 new tiles : mach    Heuristic : 10
word : macaw anchor( col :  7 row : 7 ) score : 26 new tiles : macaw    Heuristic : 24.5
word : mu anchor( col :  7 row : 7 ) score : 2 new tiles : mu    Heuristic : -2
word : much anchor( col :  7 row : 7 ) score : 16 new tiles : much    Heuristic : 10
word : mwah anchor( col :  7 row : 7 ) score : 18 new tiles : mwah    Heuristic : 15.5
word : an anchor( col :  7 row : 7 ) score : 2 new tiles : an    Heuristic : -2
word : han anchor( col :  7 row : 7 ) score : 10 new tiles : han    Heuristic : 5.5
word : whanau anchor( col :  7 row : 7 ) score : 22 new tiles : whanau    Heuristic : 21.5
word : chana anchor( col :  7 row : 7 ) score : 18 new tiles : chana    Heuristic : 12
word : wan anchor( col :  7 row : 7 ) score : 10 new tiles : wan    Heuristic : 10
word : hwan anchor( col :  7 row : 7 ) score : 18 new tiles : hwan    Heuristic : 15.5
word : can anchor( col :  7 row : 7 ) score : 8 new tiles : can    Heuristic : 4.5
word : ana anchor( col :  7 row : 7 ) score : 4 new tiles : ana    Heuristic : -3
word : un anchor( col :  7 row : 7 ) score : 2 new tiles : un    Heuristic : -2
word : hun anchor( col :  7 row : 7 ) score : 10 new tiles : hun    Heuristic : 5.5
word : awn anchor( col :  7 row : 7 ) score : 10 new tiles : awn    Heuristic : 10
word : na anchor( col :  7 row : 7 ) score : 2 new tiles : na    Heuristic : -2
word : nah anchor( col :  7 row : 7 ) score : 10 new tiles : nah    Heuristic : 5.5
word : nauch anchor( col :  7 row : 7 ) score : 26 new tiles : nauch    Heuristic : 24
word : naw anchor( col :  7 row : 7 ) score : 10 new tiles : naw    Heuristic : 10
word : nach anchor( col :  7 row : 7 ) score : 16 new tiles : nach    Heuristic : 10
word : nu anchor( col :  7 row : 7 ) score : 2 new tiles : nu    Heuristic : -2
word : nucha anchor( col :  7 row : 7 ) score : 20 new tiles : nucha    Heuristic : 18
word : ho anchor( col :  7 row : 7 ) score : 8 new tiles : ho    Heuristic : -0.5
word : cahow anchor( col :  7 row : 7 ) score : 24 new tiles : cahow    Heuristic : 20
word : who anchor( col :  7 row : 7 ) score : 16 new tiles : who    Heuristic : 9.5
word : whoa anchor( col :  7 row : 7 ) score : 18 new tiles : whoa    Heuristic : 15.5
word : chou anchor( col :  7 row : 7 ) score : 16 new tiles : chou    Heuristic : 10
word : chow anchor( col :  7 row : 7 ) score : 22 new tiles : chow    Heuristic : 14
word : hoa anchor( col :  7 row : 7 ) score : 10 new tiles : hoa    Heuristic : 5.5
word : how anchor( col :  7 row : 7 ) score : 16 new tiles : how    Heuristic : 9.5
word : hoc anchor( col :  7 row : 7 ) score : 14 new tiles : hoc    Heuristic : 4
word : hao anchor( col :  7 row : 7 ) score : 10 new tiles : hao    Heuristic : 5.5
word : chao anchor( col :  7 row : 7 ) score : 16 new tiles : chao    Heuristic : 10
word : wo anchor( col :  7 row : 7 ) score : 8 new tiles : wo    Heuristic : 4
word : cow anchor( col :  7 row : 7 ) score : 14 new tiles : cow    Heuristic : 8.5
word : oh anchor( col :  7 row : 7 ) score : 8 new tiles : oh    Heuristic : -0.5
word : ou anchor( col :  7 row : 7 ) score : 2 new tiles : ou    Heuristic : -2
word : ouch anchor( col :  7 row : 7 ) score : 16 new tiles : ouch    Heuristic : 10
word : ow anchor( col :  7 row : 7 ) score : 8 new tiles : ow    Heuristic : 4
word : och anchor( col :  7 row : 7 ) score : 14 new tiles : och    Heuristic : 4
word : oca anchor( col :  7 row : 7 ) score : 8 new tiles : oca    Heuristic : 4.5
word : hap anchor( col :  7 row : 7 ) score : 10 new tiles : hap    Heuristic : 5.5
word : whap anchor( col :  7 row : 7 ) score : 18 new tiles : whap    Heuristic : 15.5
word : chap anchor( col :  7 row : 7 ) score : 16 new tiles : chap    Heuristic : 10
word : hapu anchor( col :  7 row : 7 ) score : 12 new tiles : hapu    Heuristic : 9.5
word : wap anchor( col :  7 row : 7 ) score : 10 new tiles : wap    Heuristic : 10
word : cap anchor( col :  7 row : 7 ) score : 8 new tiles : cap    Heuristic : 4.5
word : caph anchor( col :  7 row : 7 ) score : 16 new tiles : caph    Heuristic : 10
word : capa anchor( col :  7 row : 7 ) score : 10 new tiles : capa    Heuristic : 4.5
word : up anchor( col :  7 row : 7 ) score : 2 new tiles : up    Heuristic : -2
word : hup anchor( col :  7 row : 7 ) score : 10 new tiles : hup    Heuristic : 5.5
word : whup anchor( col :  7 row : 7 ) score : 18 new tiles : whup    Heuristic : 15.5
word : whaup anchor( col :  7 row : 7 ) score : 28 new tiles : whaup    Heuristic : 29.5
word : caup anchor( col :  7 row : 7 ) score : 10 new tiles : caup    Heuristic : 8.5
word : cup anchor( col :  7 row : 7 ) score : 8 new tiles : cup    Heuristic : 4.5
word : pa anchor( col :  7 row : 7 ) score : 2 new tiles : pa    Heuristic : -2
word : pah anchor( col :  7 row : 7 ) score : 10 new tiles : pah    Heuristic : 5.5
word : paua anchor( col :  7 row : 7 ) score : 6 new tiles : paua    Heuristic : 0
word : paw anchor( col :  7 row : 7 ) score : 10 new tiles : paw    Heuristic : 10
word : pawa anchor( col :  7 row : 7 ) score : 12 new tiles : pawa    Heuristic : 10
word : pac anchor( col :  7 row : 7 ) score : 8 new tiles : pac    Heuristic : 4.5
word : pacha anchor( col :  7 row : 7 ) score : 20 new tiles : pacha    Heuristic : 14
word : paca anchor( col :  7 row : 7 ) score : 10 new tiles : paca    Heuristic : 4.5
word : puh anchor( col :  7 row : 7 ) score : 10 new tiles : puh    Heuristic : 5.5
word : puha anchor( col :  7 row : 7 ) score : 12 new tiles : puha    Heuristic : 9.5
word : aqua anchor( col :  7 row : 7 ) score : 6 new tiles : aqua    Heuristic : 0
word : qua anchor( col :  7 row : 7 ) score : 4 new tiles : qua    Heuristic : 1
word : ar anchor( col :  7 row : 7 ) score : 2 new tiles : ar    Heuristic : -2
word : char anchor( col :  7 row : 7 ) score : 16 new tiles : char    Heuristic : 10
word : achar anchor( col :  7 row : 7 ) score : 20 new tiles : achar    Heuristic : 14
word : chara anchor( col :  7 row : 7 ) score : 18 new tiles : chara    Heuristic : 12
word : haar anchor( col :  7 row : 7 ) score : 12 new tiles : haar    Heuristic : 5.5
word : war anchor( col :  7 row : 7 ) score : 10 new tiles : war    Heuristic : 10
word : car anchor( col :  7 row : 7 ) score : 8 new tiles : car    Heuristic : 4.5
word : arc anchor( col :  7 row : 7 ) score : 8 new tiles : arc    Heuristic : 4.5
word : arch anchor( col :  7 row : 7 ) score : 16 new tiles : arch    Heuristic : 10
word : ur anchor( col :  7 row : 7 ) score : 2 new tiles : ur    Heuristic : -2
word : chur anchor( col :  7 row : 7 ) score : 16 new tiles : chur    Heuristic : 10
word : whaur anchor( col :  7 row : 7 ) score : 28 new tiles : whaur    Heuristic : 29.5
word : waur anchor( col :  7 row : 7 ) score : 12 new tiles : waur    Heuristic : 14
word : aura anchor( col :  7 row : 7 ) score : 6 new tiles : aura    Heuristic : 0
word : cur anchor( col :  7 row : 7 ) score : 8 new tiles : cur    Heuristic : 4.5
word : craw anchor( col :  7 row : 7 ) score : 16 new tiles : craw    Heuristic : 14.5
word : cru anchor( col :  7 row : 7 ) score : 8 new tiles : cru    Heuristic : 4.5
word : rah anchor( col :  7 row : 7 ) score : 10 new tiles : rah    Heuristic : 5.5
word : raw anchor( col :  7 row : 7 ) score : 10 new tiles : raw    Heuristic : 10
word : rach anchor( col :  7 row : 7 ) score : 16 new tiles : rach    Heuristic : 10
word : raca anchor( col :  7 row : 7 ) score : 10 new tiles : raca    Heuristic : 4.5
word : ruc anchor( col :  7 row : 7 ) score : 8 new tiles : ruc    Heuristic : 4.5
word : ahs anchor( col :  7 row : 7 ) score : 10 new tiles : ahs    Heuristic : 5.5
word : aahs anchor( col :  7 row : 7 ) score : 12 new tiles : aahs    Heuristic : 5.5
word : as anchor( col :  7 row : 7 ) score : 2 new tiles : as    Heuristic : -2
word : has anchor( col :  7 row : 7 ) score : 10 new tiles : has    Heuristic : 5.5
word : chas anchor( col :  7 row : 7 ) score : 16 new tiles : chas    Heuristic : 10
word : auas anchor( col :  7 row : 7 ) score : 6 new tiles : auas    Heuristic : 0
word : aas anchor( col :  7 row : 7 ) score : 4 new tiles : aas    Heuristic : -3
word : caas anchor( col :  7 row : 7 ) score : 10 new tiles : caas    Heuristic : 4.5
word : was anchor( col :  7 row : 7 ) score : 10 new tiles : was    Heuristic : 10
word : awash anchor( col :  7 row : 7 ) score : 20 new tiles : awash    Heuristic : 17.5
word : wash anchor( col :  7 row : 7 ) score : 18 new tiles : wash    Heuristic : 15.5
word : cash anchor( col :  7 row : 7 ) score : 16 new tiles : cash    Heuristic : 10
word : cashaw anchor( col :  7 row : 7 ) score : 26 new tiles : cashaw    Heuristic : 22
word : casa anchor( col :  7 row : 7 ) score : 10 new tiles : casa    Heuristic : 4.5
word : ash anchor( col :  7 row : 7 ) score : 10 new tiles : ash    Heuristic : 5.5
word : us anchor( col :  7 row : 7 ) score : 2 new tiles : us    Heuristic : -2
