******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : hifycrq

word : qi anchor( col :  8 row : 6 ) score : 21 new tiles : q    Heuristic : 16
word : fiqh anchor( col :  9 row : 6 ) score : 27 new tiles : fih    Heuristic : 11.5
word : ch anchor( col :  10 row : 6 ) score : 7 new tiles : c    Heuristic : -9
word : ich anchor( col :  10 row : 6 ) score : 8 new tiles : ic    Heuristic : -9.5
word : rich anchor( col :  10 row : 6 ) score : 18 new tiles : ric    Heuristic : 0
word : chi anchor( col :  10 row : 6 ) score : 8 new tiles : ci    Heuristic : -9.5
word : rhy anchor( col :  10 row : 6 ) score : 9 new tiles : ry    Heuristic : -6
word : fiqh anchor( col :  10 row : 6 ) score : 38 new tiles : fiq    Heuristic : 34.5
word : if anchor( col :  11 row : 6 ) score : 11 new tiles : if    Heuristic : -5
word : ich anchor( col :  11 row : 6 ) score : 13 new tiles : ich    Heuristic : -4
word : icy anchor( col :  11 row : 6 ) score : 13 new tiles : icy    Heuristic : -1.5
word : ichs anchor( col :  11 row : 6 ) score : 9 new tiles : ich    Heuristic : -8
word : fiqhs anchor( col :  11 row : 6 ) score : 40 new tiles : fiqh    Heuristic : 37
word : is anchor( col :  11 row : 6 ) score : 2 new tiles : i    Heuristic : -17
word : his anchor( col :  11 row : 6 ) score : 6 new tiles : hi    Heuristic : -12.5
word : chis anchor( col :  11 row : 6 ) score : 9 new tiles : chi    Heuristic : -8
word : fish anchor( col :  11 row : 6 ) score : 10 new tiles : fih    Heuristic : -5.5
word : fishy anchor( col :  11 row : 6 ) score : 14 new tiles : fihy    Heuristic : 1.5
word : fisc anchor( col :  11 row : 6 ) score : 9 new tiles : fic    Heuristic : -5.5
word : cis anchor( col :  11 row : 6 ) score : 5 new tiles : ci    Heuristic : -12.5
word : fris anchor( col :  11 row : 6 ) score : 7 new tiles : fri    Heuristic : -9.5
word : cris anchor( col :  11 row : 6 ) score : 6 new tiles : cri    Heuristic : -12
word : qis anchor( col :  11 row : 6 ) score : 12 new tiles : qi    Heuristic : 5.5
word : ish anchor( col :  11 row : 6 ) score : 6 new tiles : ih    Heuristic : -12.5
word : ifs anchor( col :  11 row : 6 ) score : 6 new tiles : if    Heuristic : -10
word : rifs anchor( col :  11 row : 6 ) score : 7 new tiles : rif    Heuristic : -9.5
word : firs anchor( col :  11 row : 6 ) score : 7 new tiles : fir    Heuristic : -9.5
word : rhy anchor( col :  7 row : 8 ) score : 21 new tiles : rhy    Heuristic : 6.5
word : fy anchor( col :  7 row : 8 ) score : 20 new tiles : fy    Heuristic : 8.5
word : icy anchor( col :  7 row : 8 ) score : 19 new tiles : icy    Heuristic : 4.5
word : ricy anchor( col :  7 row : 8 ) score : 20 new tiles : ricy    Heuristic : 5
word : fry anchor( col :  7 row : 8 ) score : 18 new tiles : fry    Heuristic : 6
word : cry anchor( col :  7 row : 8 ) score : 17 new tiles : cry    Heuristic : 3.5
word : fir anchor( col :  7 row : 8 ) score : 6 new tiles : ir    Heuristic : -13.5
word : fiqh anchor( col :  7 row : 8 ) score : 19 new tiles : iqh    Heuristic : 13
word : fy anchor( col :  7 row : 8 ) score : 8 new tiles : y    Heuristic : -6.5
word : fry anchor( col :  7 row : 8 ) score : 9 new tiles : ry    Heuristic : -6
word : if anchor( col :  8 row : 8 ) score : 9 new tiles : f    Heuristic : -5.5
word : ich anchor( col :  8 row : 8 ) score : 11 new tiles : ch    Heuristic : -4.5
word : icy anchor( col :  8 row : 8 ) score : 11 new tiles : cy    Heuristic : -2
word : qi anchor( col :  9 row : 8 ) score : 11 new tiles : i    Heuristic : -8
word : hi anchor( col :  10 row : 8 ) score : 5 new tiles : i    Heuristic : -14
word : hic anchor( col :  10 row : 8 ) score : 8 new tiles : ic    Heuristic : -9.5
word : hi anchor( col :  11 row : 8 ) score : 11 new tiles : hi    Heuristic : -7.5
word : hic anchor( col :  11 row : 8 ) score : 14 new tiles : hic    Heuristic : -3
word : if anchor( col :  11 row : 8 ) score : 11 new tiles : if    Heuristic : -5
word : ich anchor( col :  11 row : 8 ) score : 13 new tiles : ich    Heuristic : -4
word : icy anchor( col :  11 row : 8 ) score : 13 new tiles : icy    Heuristic : -1.5
word : sh anchor( col :  11 row : 8 ) score : 5 new tiles : h    Heuristic : -12
word : shir anchor( col :  11 row : 8 ) score : 7 new tiles : hir    Heuristic : -12
word : shy anchor( col :  11 row : 8 ) score : 9 new tiles : hy    Heuristic : -5
word : shri anchor( col :  11 row : 8 ) score : 7 new tiles : hri    Heuristic : -12
word : si anchor( col :  11 row : 8 ) score : 2 new tiles : i    Heuristic : -17
word : sif anchor( col :  11 row : 8 ) score : 6 new tiles : if    Heuristic : -10
word : sic anchor( col :  11 row : 8 ) score : 5 new tiles : ic    Heuristic : -12.5
word : sich anchor( col :  11 row : 8 ) score : 9 new tiles : ich    Heuristic : -8
word : sir anchor( col :  11 row : 8 ) score : 3 new tiles : ir    Heuristic : -16.5
word : scry anchor( col :  11 row : 8 ) score : 9 new tiles : cry    Heuristic : -4.5
word : sri anchor( col :  11 row : 8 ) score : 3 new tiles : ri    Heuristic : -16.5
word : si anchor( col :  10 row : 4 ) score : 4 new tiles : s    Heuristic : -15
word : sis anchor( col :  10 row : 4 ) score : 6 new tiles : ss    Heuristic : -8
word : siss anchor( col :  10 row : 4 ) score : 8 new tiles : sss    Heuristic : -1
word : vis anchor( col :  10 row : 4 ) score : 12 new tiles : vs    Heuristic : -0.5
word : is anchor( col :  12 row : 4 ) score : 2 new tiles : s    Heuristic : -17
word : si anchor( col :  8 row : 6 ) score : 3 new tiles : s    Heuristic : -16
word : sis anchor( col :  8 row : 6 ) score : 5 new tiles : ss    Heuristic : -9
word : siss anchor( col :  8 row : 6 ) score : 6 new tiles : sss    Heuristic : -3
word : vis anchor( col :  8 row : 6 ) score : 11 new tiles : vs    Heuristic : -1.5
word : sh anchor( col :  10 row : 6 ) score : 10 new tiles : s    Heuristic : -9
word : is anchor( col :  8 row : 8 ) score : 3 new tiles : s    Heuristic : -16
word : cig anchor( col :  8 row : 6 ) score : 11 new tiles : cg    Heuristic : -0.5
word : ciggy anchor( col :  8 row : 6 ) score : 17 new tiles : cggy    Heuristic : 12
word : gyri anchor( col :  8 row : 6 ) score : 9 new tiles : gyr    Heuristic : -1.5
word : grig anchor( col :  8 row : 6 ) score : 9 new tiles : grg    Heuristic : -1
word : ricy anchor( col :  8 row : 6 ) score : 13 new tiles : rcy    Heuristic : 0.5
word : rig anchor( col :  8 row : 6 ) score : 7 new tiles : rg    Heuristic : -6.5
word : rigg anchor( col :  8 row : 6 ) score : 9 new tiles : rgg    Heuristic : -1
word : gi anchor( col :  8 row : 6 ) score : 5 new tiles : g    Heuristic : -8
word : gig anchor( col :  8 row : 6 ) score : 9 new tiles : gg    Heuristic : -0.5
word : ch anchor( col :  10 row : 6 ) score : 14 new tiles : c    Heuristic : -1
word : cry anchor( col :  7 row : 8 ) score : 17 new tiles : cry    Heuristic : 4.5
word : fy anchor( col :  7 row : 8 ) score : 8 new tiles : y    Heuristic : -5.5
word : fry anchor( col :  7 row : 8 ) score : 9 new tiles : ry    Heuristic : -5
word : icy anchor( col :  8 row : 8 ) score : 11 new tiles : cy    Heuristic : -1
word : igg anchor( col :  8 row : 8 ) score : 7 new tiles : gg    Heuristic : -2.5
word : sh anchor( col :  10 row : 6 ) score : 10 new tiles : s    Heuristic : -2
word : ky anchor( col :  7 row : 10 ) score : 9 new tiles : k    Heuristic : -7
word : sky anchor( col :  7 row : 10 ) score : 10 new tiles : sk    Heuristic : -1
word : skyr anchor( col :  9 row : 10 ) score : 11 new tiles : r    Heuristic : -1
word : hi anchor( col :  4 row : 6 ) score : 10 new tiles : hi    Heuristic : -8.5
word : chi anchor( col :  4 row : 6 ) score : 16 new tiles : chi    Heuristic : -1
word : qi anchor( col :  4 row : 6 ) score : 16 new tiles : qi    Heuristic : 9.5
word : if anchor( col :  4 row : 6 ) score : 5 new tiles : i    Heuristic : -14
word : rif anchor( col :  4 row : 6 ) score : 6 new tiles : ri    Heuristic : -13.5
