******HUMAN TURN******

-----HUMAN EXCHANGE TILE-----

Exchange :  B J D L
New Tiles :  A W R D


******HUMAN RESULT******
RACK : AWRDQKL

HUMAN MOVE : ward , score : 16 , direction : 1 , col : 10 , row : 7


******COMPUTER TURN******
RACK : popoayf

word : aa anchor( col :  7 row : 8 ) score : 2 new tiles : a    Heuristic : -10
word : ay anchor( col :  7 row : 8 ) score : 5 new tiles : y    Heuristic : -2
word : ropy anchor( col :  8 row : 8 ) score : 10 new tiles : opy    Heuristic : 8
word : roof anchor( col :  8 row : 8 ) score : 8 new tiles : oof    Heuristic : 3
word : rap anchor( col :  8 row : 8 ) score : 6 new tiles : ap    Heuristic : -2.5
word : ray anchor( col :  8 row : 8 ) score : 7 new tiles : ay    Heuristic : -2
word : rya anchor( col :  8 row : 8 ) score : 10 new tiles : ya    Heuristic : 1
word : op anchor( col :  9 row : 8 ) score : 7 new tiles : op    Heuristic : 3
word : oaf anchor( col :  9 row : 8 ) score : 9 new tiles : oaf    Heuristic : 1.5
word : oy anchor( col :  9 row : 8 ) score : 8 new tiles : oy    Heuristic : 3.5
word : of anchor( col :  9 row : 8 ) score : 8 new tiles : of    Heuristic : 3.5
word : ofay anchor( col :  9 row : 8 ) score : 17 new tiles : ofay    Heuristic : 12.5
word : ay anchor( col :  9 row : 8 ) score : 8 new tiles : ay    Heuristic : -1
word : do anchor( col :  9 row : 8 ) score : 3 new tiles : o    Heuristic : -4.5
word : dopa anchor( col :  9 row : 8 ) score : 13 new tiles : opa    Heuristic : 6
word : dopy anchor( col :  9 row : 8 ) score : 16 new tiles : opy    Heuristic : 14
word : da anchor( col :  9 row : 8 ) score : 3 new tiles : a    Heuristic : -9
word : dap anchor( col :  9 row : 8 ) score : 12 new tiles : ap    Heuristic : 3.5
word : day anchor( col :  9 row : 8 ) score : 15 new tiles : ay    Heuristic : 6
Hasil evaluasi : poofy , score : 24 , direction :1 ,i: 6 j: 7 Heuristic: 24.5



POSSIBLE MOVEMENT : 


