******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : ax anchor( col :  10 row : 6 ) score : 9 new tiles : a    Heuristic : -10.5
word : tax anchor( col :  10 row : 6 ) score : 10 new tiles : ta    Heuristic : -8.5
word : taxi anchor( col :  10 row : 6 ) score : 11 new tiles : tai    Heuristic : -9
word : taxing anchor( col :  10 row : 6 ) score : 28 new tiles : taing    Heuristic : 11.5
word : wax anchor( col :  10 row : 6 ) score : 13 new tiles : wa    Heuristic : -1.5
word : waxing anchor( col :  10 row : 6 ) score : 34 new tiles : waing    Heuristic : 21.5
word : axing anchor( col :  10 row : 6 ) score : 26 new tiles : aing    Heuristic : 8.5
word : nix anchor( col :  10 row : 6 ) score : 10 new tiles : ni    Heuristic : -7.5
word : tix anchor( col :  10 row : 6 ) score : 10 new tiles : ti    Heuristic : -7
word : influx anchor( col :  6 row : 7 ) score : 16 new tiles : in    Heuristic : -1.5
word : fluxing anchor( col :  11 row : 7 ) score : 19 new tiles : ing    Heuristic : 4.5
word : na anchor( col :  7 row : 8 ) score : 8 new tiles : na    Heuristic : -11
word : tina anchor( col :  7 row : 8 ) score : 10 new tiles : tina    Heuristic : -9.5
word : ta anchor( col :  7 row : 8 ) score : 8 new tiles : ta    Heuristic : -10.5
word : ita anchor( col :  7 row : 8 ) score : 9 new tiles : ita    Heuristic : -11
word : tai anchor( col :  7 row : 8 ) score : 13 new tiles : tai    Heuristic : -7
word : tain anchor( col :  7 row : 8 ) score : 16 new tiles : tain    Heuristic : -3.5
word : taig anchor( col :  7 row : 8 ) score : 18 new tiles : taig    Heuristic : 1
word : twa anchor( col :  7 row : 8 ) score : 15 new tiles : twa    Heuristic : 1.5
word : twain anchor( col :  7 row : 8 ) score : 23 new tiles : twain    Heuristic : 8.5
word : wai anchor( col :  7 row : 8 ) score : 19 new tiles : wai    Heuristic : 3
word : wain anchor( col :  7 row : 8 ) score : 22 new tiles : wain    Heuristic : 6.5
word : wait anchor( col :  7 row : 8 ) score : 22 new tiles : wait    Heuristic : 7
word : ngai anchor( col :  7 row : 8 ) score : 16 new tiles : ngai    Heuristic : -1.5
word : gain anchor( col :  7 row : 8 ) score : 18 new tiles : gain    Heuristic : 0.5
word : gait anchor( col :  7 row : 8 ) score : 18 new tiles : gait    Heuristic : 1
word : ai anchor( col :  7 row : 8 ) score : 11 new tiles : ai    Heuristic : -10
word : ain anchor( col :  7 row : 8 ) score : 14 new tiles : ain    Heuristic : -6.5
word : ait anchor( col :  7 row : 8 ) score : 14 new tiles : ait    Heuristic : -6
word : fa anchor( col :  7 row : 8 ) score : 5 new tiles : a    Heuristic : -14.5
word : fain anchor( col :  7 row : 8 ) score : 7 new tiles : ain    Heuristic : -13.5
word : faint anchor( col :  7 row : 8 ) score : 9 new tiles : aint    Heuristic : -10.5
word : fan anchor( col :  7 row : 8 ) score : 6 new tiles : an    Heuristic : -13
word : fang anchor( col :  7 row : 8 ) score : 8 new tiles : ang    Heuristic : -8
word : fat anchor( col :  7 row : 8 ) score : 6 new tiles : at    Heuristic : -12.5
word : fating anchor( col :  7 row : 8 ) score : 11 new tiles : ating    Heuristic : -5.5
word : faw anchor( col :  7 row : 8 ) score : 9 new tiles : aw    Heuristic : -5.5
word : fawn anchor( col :  7 row : 8 ) score : 10 new tiles : awn    Heuristic : -4
word : fag anchor( col :  7 row : 8 ) score : 7 new tiles : ag    Heuristic : -9.5
word : fagin anchor( col :  7 row : 8 ) score : 10 new tiles : agin    Heuristic : -7.5
word : fiat anchor( col :  7 row : 8 ) score : 7 new tiles : iat    Heuristic : -13
word : fin anchor( col :  7 row : 8 ) score : 6 new tiles : in    Heuristic : -11.5
word : fit anchor( col :  7 row : 8 ) score : 6 new tiles : it    Heuristic : -11
word : fitna anchor( col :  7 row : 8 ) score : 9 new tiles : itna    Heuristic : -10.5
word : fig anchor( col :  7 row : 8 ) score : 7 new tiles : ig    Heuristic : -8
word : an anchor( col :  8 row : 8 ) score : 8 new tiles : an    Heuristic : -11
word : ani anchor( col :  8 row : 8 ) score : 18 new tiles : ani    Heuristic : -2.5
word : at anchor( col :  8 row : 8 ) score : 8 new tiles : at    Heuristic : -10.5
word : ag anchor( col :  8 row : 8 ) score : 10 new tiles : ag    Heuristic : -6.5
word : agin anchor( col :  8 row : 8 ) score : 21 new tiles : agin    Heuristic : 3.5
word : in anchor( col :  8 row : 8 ) score : 8 new tiles : in    Heuristic : -9.5
word : it anchor( col :  8 row : 8 ) score : 8 new tiles : it    Heuristic : -9
word : la anchor( col :  8 row : 8 ) score : 3 new tiles : a    Heuristic : -16.5
word : lain anchor( col :  8 row : 8 ) score : 5 new tiles : ain    Heuristic : -15.5
word : lant anchor( col :  8 row : 8 ) score : 5 new tiles : ant    Heuristic : -13
word : lang anchor( col :  8 row : 8 ) score : 6 new tiles : ang    Heuristic : -10
word : lat anchor( col :  8 row : 8 ) score : 4 new tiles : at    Heuristic : -14.5
word : lati anchor( col :  8 row : 8 ) score : 5 new tiles : ati    Heuristic : -15
word : law anchor( col :  8 row : 8 ) score : 7 new tiles : aw    Heuristic : -7.5
word : lawin anchor( col :  8 row : 8 ) score : 9 new tiles : awin    Heuristic : -6.5
word : lawing anchor( col :  8 row : 8 ) score : 13 new tiles : awing    Heuristic : 0.5
word : lawn anchor( col :  8 row : 8 ) score : 8 new tiles : awn    Heuristic : -6
word : lag anchor( col :  8 row : 8 ) score : 5 new tiles : ag    Heuristic : -11.5
word : li anchor( col :  8 row : 8 ) score : 3 new tiles : i    Heuristic : -15
word : liang anchor( col :  8 row : 8 ) score : 7 new tiles : iang    Heuristic : -10.5
word : lin anchor( col :  8 row : 8 ) score : 4 new tiles : in    Heuristic : -13.5
word : lint anchor( col :  8 row : 8 ) score : 5 new tiles : int    Heuristic : -11.5
word : ling anchor( col :  8 row : 8 ) score : 6 new tiles : ing    Heuristic : -8.5
word : linga anchor( col :  8 row : 8 ) score : 7 new tiles : inga    Heuristic : -10.5
word : lit anchor( col :  8 row : 8 ) score : 4 new tiles : it    Heuristic : -13
word : lig anchor( col :  8 row : 8 ) score : 5 new tiles : ig    Heuristic : -10
word : ligan anchor( col :  8 row : 8 ) score : 7 new tiles : igan    Heuristic : -10.5
word : nit anchor( col :  9 row : 8 ) score : 14 new tiles : nit    Heuristic : -2.5
word : ti anchor( col :  9 row : 8 ) score : 13 new tiles : ti    Heuristic : -4
