******HUMAN TURN******

******HUMAN RESULT******
RACK : TZMKISB

HUMAN MOVE : sim , score : 10 , direction : 1 , col : 10 , row : 7


******COMPUTER TURN******
RACK : drjuxet

HUMAN MOVE : mop , score : 13 , direction : 2 , col : 9 , row : 10


******COMPUTER TURN******
RACK : drttttf

word : de anchor( col :  6 row : 5 ) score : 3 new tiles : d    Heuristic : -10
word : re anchor( col :  6 row : 5 ) score : 2 new tiles : r    Heuristic : -12.5
word : dust anchor( col :  7 row : 5 ) score : 5 new tiles : dt    Heuristic : -4.5
word : trust anchor( col :  7 row : 5 ) score : 5 new tiles : trt    Heuristic : -2.5
word : rust anchor( col :  7 row : 5 ) score : 4 new tiles : rt    Heuristic : -7
word : od anchor( col :  10 row : 8 ) score : 3 new tiles : d    Heuristic : -10
word : or anchor( col :  10 row : 8 ) score : 2 new tiles : r    Heuristic : -12.5
word : ort anchor( col :  10 row : 8 ) score : 3 new tiles : rt    Heuristic : -8
word : of anchor( col :  10 row : 8 ) score : 5 new tiles : f    Heuristic : -6
word : oft anchor( col :  10 row : 8 ) score : 6 new tiles : ft    Heuristic : -1.5
Hasil evaluasi : oft , score : 6 , direction :1 ,i: 8 j: 9 Heuristic: -1.5



POSSIBLE MOVEMENT : 


