******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : dwaargs

word : sar anchor( col :  7 row : 7 ) score : 6 new tiles : sar    Heuristic : 1
word : asar anchor( col :  7 row : 7 ) score : 8 new tiles : asar    Heuristic : 0
word : sard anchor( col :  7 row : 7 ) score : 10 new tiles : sard    Heuristic : 6
word : ard anchor( col :  7 row : 7 ) score : 8 new tiles : ard    Heuristic : 10.5
word : ards anchor( col :  7 row : 7 ) score : 10 new tiles : ards    Heuristic : 6
word : ars anchor( col :  7 row : 7 ) score : 6 new tiles : ars    Heuristic : 1
word : grad anchor( col :  7 row : 7 ) score : 12 new tiles : grad    Heuristic : 17.5
word : grads anchor( col :  7 row : 7 ) score : 14 new tiles : grads    Heuristic : 12
word : rad anchor( col :  7 row : 7 ) score : 8 new tiles : rad    Heuristic : 10.5
word : rads anchor( col :  7 row : 7 ) score : 10 new tiles : rads    Heuristic : 6
word : raw anchor( col :  7 row : 7 ) score : 12 new tiles : raw    Heuristic : 18.5
word : raws anchor( col :  7 row : 7 ) score : 14 new tiles : raws    Heuristic : 14
word : rag anchor( col :  7 row : 7 ) score : 8 new tiles : rag    Heuristic : 12.5
word : raga anchor( col :  7 row : 7 ) score : 10 new tiles : raga    Heuristic : 11.5
word : ragas anchor( col :  7 row : 7 ) score : 14 new tiles : ragas    Heuristic : 9
word : rags anchor( col :  7 row : 7 ) score : 10 new tiles : rags    Heuristic : 8
word : ras anchor( col :  7 row : 7 ) score : 6 new tiles : ras    Heuristic : 1
word : ag anchor( col :  7 row : 7 ) score : 6 new tiles : ag    Heuristic : 11
word : dag anchor( col :  7 row : 7 ) score : 10 new tiles : dag    Heuristic : 16
word : dags anchor( col :  7 row : 7 ) score : 12 new tiles : dags    Heuristic : 11.5
word : wag anchor( col :  7 row : 7 ) score : 14 new tiles : wag    Heuristic : 24
word : swag anchor( col :  7 row : 7 ) score : 16 new tiles : swag    Heuristic : 19.5
word : wags anchor( col :  7 row : 7 ) score : 16 new tiles : wags    Heuristic : 19.5
word : saag anchor( col :  7 row : 7 ) score : 10 new tiles : saag    Heuristic : 5.5
word : rag anchor( col :  7 row : 7 ) score : 8 new tiles : rag    Heuristic : 12.5
word : drag anchor( col :  7 row : 7 ) score : 12 new tiles : drag    Heuristic : 17.5
word : drags anchor( col :  7 row : 7 ) score : 14 new tiles : drags    Heuristic : 12
word : raga anchor( col :  7 row : 7 ) score : 10 new tiles : raga    Heuristic : 11.5
word : ragas anchor( col :  7 row : 7 ) score : 12 new tiles : ragas    Heuristic : 7
word : rags anchor( col :  7 row : 7 ) score : 10 new tiles : rags    Heuristic : 8
word : sag anchor( col :  7 row : 7 ) score : 8 new tiles : sag    Heuristic : 6.5
word : saga anchor( col :  7 row : 7 ) score : 10 new tiles : saga    Heuristic : 5.5
word : aga anchor( col :  7 row : 7 ) score : 8 new tiles : aga    Heuristic : 10
word : agar anchor( col :  7 row : 7 ) score : 10 new tiles : agar    Heuristic : 11.5
word : agars anchor( col :  7 row : 7 ) score : 12 new tiles : agars    Heuristic : 7
word : agas anchor( col :  7 row : 7 ) score : 10 new tiles : agas    Heuristic : 5.5
