******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -16
word : ax anchor( col :  8 row : 9 ) score : 9 new tiles : x    Heuristic : -4
word : aw anchor( col :  8 row : 9 ) score : 5 new tiles : w    Heuristic : -7.5
word : ai anchor( col :  8 row : 9 ) score : 2 new tiles : i    Heuristic : -17
word : up anchor( col :  6 row : 10 ) score : 4 new tiles : u    Heuristic : -12.5
word : pi anchor( col :  8 row : 10 ) score : 4 new tiles : i    Heuristic : -15
word : ar anchor( col :  8 row : 5 ) score : 2 new tiles : a    Heuristic : -6.5
word : var anchor( col :  8 row : 5 ) score : 6 new tiles : va    Heuristic : 4
word : haro anchor( col :  8 row : 5 ) score : 12 new tiles : hao    Heuristic : 3.5
word : oar anchor( col :  8 row : 5 ) score : 3 new tiles : oa    Heuristic : -6
word : voar anchor( col :  8 row : 5 ) score : 7 new tiles : voa    Heuristic : 4.5
word : hoar anchor( col :  8 row : 5 ) score : 7 new tiles : hoa    Heuristic : -1.5
word : roar anchor( col :  8 row : 5 ) score : 4 new tiles : roa    Heuristic : -5.5
word : par anchor( col :  8 row : 5 ) score : 5 new tiles : pa    Heuristic : -1
word : or anchor( col :  8 row : 5 ) score : 2 new tiles : o    Heuristic : -4
word : vor anchor( col :  8 row : 5 ) score : 6 new tiles : vo    Heuristic : 6.5
word : hora anchor( col :  8 row : 5 ) score : 12 new tiles : hoa    Heuristic : 3.5
word : dor anchor( col :  8 row : 5 ) score : 4 new tiles : do    Heuristic : -1
word : ardor anchor( col :  8 row : 5 ) score : 7 new tiles : ardo    Heuristic : -1.5
word : vapor anchor( col :  8 row : 5 ) score : 14 new tiles : vapo    Heuristic : 14
word : var anchor( col :  6 row : 6 ) score : 10 new tiles : v    Heuristic : 11
word : oar anchor( col :  6 row : 6 ) score : 4 new tiles : o    Heuristic : -2
word : par anchor( col :  6 row : 6 ) score : 8 new tiles : p    Heuristic : 5
word : ard anchor( col :  9 row : 6 ) score : 4 new tiles : d    Heuristic : -0.5
word : ah anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : 1.5
word : oh anchor( col :  6 row : 7 ) score : 10 new tiles : o    Heuristic : 4
word : aw anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : 1.5
word : ow anchor( col :  6 row : 7 ) score : 10 new tiles : o    Heuristic : 4
word : awe anchor( col :  5 row : 8 ) score : 6 new tiles : a    Heuristic : -2.5
word : owe anchor( col :  5 row : 8 ) score : 6 new tiles : o    Heuristic : 0
word : wed anchor( col :  8 row : 8 ) score : 9 new tiles : d    Heuristic : 4.5
word : aa anchor( col :  8 row : 9 ) score : 2 new tiles : a    Heuristic : -6.5
word : ah anchor( col :  8 row : 9 ) score : 5 new tiles : h    Heuristic : 0
word : ad anchor( col :  8 row : 9 ) score : 3 new tiles : d    Heuristic : -1.5
word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -4
word : op anchor( col :  6 row : 10 ) score : 4 new tiles : o    Heuristic : -2
word : pa anchor( col :  8 row : 10 ) score : 4 new tiles : a    Heuristic : -4.5
word : po anchor( col :  8 row : 10 ) score : 4 new tiles : o    Heuristic : -2
word : id anchor( col :  7 row : 4 ) score : 3 new tiles : i    Heuristic : -13.5
word : vid anchor( col :  7 row : 4 ) score : 7 new tiles : vi    Heuristic : -3
word : rid anchor( col :  7 row : 4 ) score : 4 new tiles : ri    Heuristic : -13
word : kid anchor( col :  7 row : 4 ) score : 8 new tiles : ki    Heuristic : -5
word : rud anchor( col :  7 row : 4 ) score : 4 new tiles : ru    Heuristic : -10.5
word : pud anchor( col :  7 row : 4 ) score : 6 new tiles : pu    Heuristic : -5.5
word : kuri anchor( col :  7 row : 4 ) score : 12 new tiles : kuri    Heuristic : -0.5
word : puri anchor( col :  7 row : 4 ) score : 10 new tiles : puri    Heuristic : -3.5
word : xi anchor( col :  7 row : 4 ) score : 20 new tiles : xi    Heuristic : 8
word : ki anchor( col :  7 row : 4 ) score : 14 new tiles : ki    Heuristic : 1
word : pi anchor( col :  7 row : 4 ) score : 10 new tiles : pi    Heuristic : -4
word : di anchor( col :  9 row : 4 ) score : 3 new tiles : i    Heuristic : -13.5
word : or anchor( col :  9 row : 5 ) score : 4 new tiles : r    Heuristic : -11.5
word : ox anchor( col :  9 row : 5 ) score : 25 new tiles : x    Heuristic : 14.5
word : oi anchor( col :  9 row : 5 ) score : 4 new tiles : i    Heuristic : -12.5
word : ou anchor( col :  9 row : 5 ) score : 4 new tiles : u    Heuristic : -10
word : op anchor( col :  9 row : 5 ) score : 10 new tiles : p    Heuristic : -2.5
word : var anchor( col :  6 row : 6 ) score : 10 new tiles : v    Heuristic : 1.5
word : par anchor( col :  6 row : 6 ) score : 8 new tiles : p    Heuristic : -4.5
word : ark anchor( col :  9 row : 6 ) score : 7 new tiles : k    Heuristic : -4.5
word : wex anchor( col :  8 row : 8 ) score : 21 new tiles : x    Heuristic : 10.5
word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -13.5
word : ax anchor( col :  8 row : 9 ) score : 9 new tiles : x    Heuristic : -1.5
word : ai anchor( col :  8 row : 9 ) score : 2 new tiles : i    Heuristic : -14.5
word : up anchor( col :  6 row : 10 ) score : 4 new tiles : u    Heuristic : -10
word : pi anchor( col :  8 row : 10 ) score : 4 new tiles : i    Heuristic : -12.5
word : ad anchor( col :  7 row : 4 ) score : 3 new tiles : a    Heuristic : -13.5
word : had anchor( col :  7 row : 4 ) score : 7 new tiles : ha    Heuristic : -5
word : pad anchor( col :  7 row : 4 ) score : 6 new tiles : pa    Heuristic : -8
word : rad anchor( col :  7 row : 4 ) score : 4 new tiles : ra    Heuristic : -13
word : prad anchor( col :  7 row : 4 ) score : 7 new tiles : pra    Heuristic : -7.5
word : ard anchor( col :  7 row : 4 ) score : 4 new tiles : ar    Heuristic : -13
word : hard anchor( col :  7 row : 4 ) score : 8 new tiles : har    Heuristic : -4.5
