******HUMAN TURN******

******HUMAN RESULT******
RACK : OGGGYNK

HUMAN MOVE : go , score : 6 , direction : 1 , col : 9 , row : 7


******COMPUTER TURN******
RACK : icbbel*

word : by anchor( col :  8 row : 6 ) score : 13 new tiles : by    Heuristic : 13.5
word : bye anchor( col :  8 row : 6 ) score : 14 new tiles : bye    Heuristic : 8.5
word : li anchor( col :  8 row : 6 ) score : 6 new tiles : li    Heuristic : 27.5
word : lice anchor( col :  8 row : 6 ) score : 10 new tiles : lice    Heuristic : 27
word : lice anchor( col :  8 row : 6 ) score : 10 new tiles : lice    Heuristic : 8.5
word : lich anchor( col :  8 row : 6 ) score : 9 new tiles : lich    Heuristic : 7.5
word : lick anchor( col :  8 row : 6 ) score : 9 new tiles : lick    Heuristic : 7.5
word : lib anchor( col :  8 row : 6 ) score : 9 new tiles : lib    Heuristic : 34.5
word : libber anchor( col :  8 row : 6 ) score : 14 new tiles : libber    Heuristic : 13.5
word : libel anchor( col :  8 row : 6 ) score : 10 new tiles : libel    Heuristic : 5
word : liber anchor( col :  8 row : 6 ) score : 10 new tiles : liber    Heuristic : 5
word : libs anchor( col :  8 row : 6 ) score : 9 new tiles : libs    Heuristic : 10
word : lie anchor( col :  8 row : 6 ) score : 7 new tiles : lie    Heuristic : 22.5
word : lied anchor( col :  8 row : 6 ) score : 7 new tiles : lied    Heuristic : -2
word : lief anchor( col :  8 row : 6 ) score : 7 new tiles : lief    Heuristic : -2
word : lien anchor( col :  8 row : 6 ) score : 7 new tiles : lien    Heuristic : -2
word : lier anchor( col :  8 row : 6 ) score : 7 new tiles : lier    Heuristic : -2
word : lies anchor( col :  8 row : 6 ) score : 7 new tiles : lies    Heuristic : -2
word : lieu anchor( col :  8 row : 6 ) score : 7 new tiles : lieu    Heuristic : -2
word : lib anchor( col :  8 row : 6 ) score : 9 new tiles : lib    Heuristic : 6
word : lice anchor( col :  8 row : 6 ) score : 10 new tiles : lice    Heuristic : 1
word : lid anchor( col :  8 row : 6 ) score : 6 new tiles : lid    Heuristic : 3
word : lie anchor( col :  8 row : 6 ) score : 7 new tiles : lie    Heuristic : 4
word : life anchor( col :  8 row : 6 ) score : 7 new tiles : life    Heuristic : -2
word : like anchor( col :  8 row : 6 ) score : 7 new tiles : like    Heuristic : -2
word : limb anchor( col :  8 row : 6 ) score : 9 new tiles : limb    Heuristic : 10
word : lime anchor( col :  8 row : 6 ) score : 7 new tiles : lime    Heuristic : -2
word : lin anchor( col :  8 row : 6 ) score : 6 new tiles : lin    Heuristic : 3
word : line anchor( col :  8 row : 6 ) score : 7 new tiles : line    Heuristic : -2
word : lip anchor( col :  8 row : 6 ) score : 6 new tiles : lip    Heuristic : 3
word : lire anchor( col :  8 row : 6 ) score : 7 new tiles : lire    Heuristic : -2
word : lis anchor( col :  8 row : 6 ) score : 6 new tiles : lis    Heuristic : 3
word : lit anchor( col :  8 row : 6 ) score : 6 new tiles : lit    Heuristic : 3
word : live anchor( col :  8 row : 6 ) score : 7 new tiles : live    Heuristic : -2
word : lei anchor( col :  8 row : 6 ) score : 7 new tiles : lei    Heuristic : 22.5
word : leis anchor( col :  8 row : 6 ) score : 7 new tiles : leis    Heuristic : -2
word : lech anchor( col :  8 row : 6 ) score : 9 new tiles : lech    Heuristic : 3
word : lea anchor( col :  8 row : 6 ) score : 6 new tiles : lea    Heuristic : -1.5
word : led anchor( col :  8 row : 6 ) score : 6 new tiles : led    Heuristic : -1.5
word : lee anchor( col :  8 row : 6 ) score : 6 new tiles : lee    Heuristic : -1.5
word : leg anchor( col :  8 row : 6 ) score : 6 new tiles : leg    Heuristic : -1.5
word : lei anchor( col :  8 row : 6 ) score : 7 new tiles : lei    Heuristic : -0.5
word : lek anchor( col :  8 row : 6 ) score : 6 new tiles : lek    Heuristic : -1.5
word : let anchor( col :  8 row : 6 ) score : 6 new tiles : let    Heuristic : -1.5
word : leu anchor( col :  8 row : 6 ) score : 6 new tiles : leu    Heuristic : -1.5
word : lev anchor( col :  8 row : 6 ) score : 6 new tiles : lev    Heuristic : -1.5
word : lex anchor( col :  8 row : 6 ) score : 6 new tiles : lex    Heuristic : -1.5
word : ley anchor( col :  8 row : 6 ) score : 6 new tiles : ley    Heuristic : -1.5
word : lez anchor( col :  8 row : 6 ) score : 6 new tiles : lez    Heuristic : -1.5
word : la anchor( col :  8 row : 6 ) score : 5 new tiles : la    Heuristic : 3.5
word : laic anchor( col :  8 row : 6 ) score : 9 new tiles : laic    Heuristic : 7.5
word : lac anchor( col :  8 row : 6 ) score : 8 new tiles : lac    Heuristic : 7
word : lace anchor( col :  8 row : 6 ) score : 9 new tiles : lace    Heuristic : 3
word : lab anchor( col :  8 row : 6 ) score : 8 new tiles : lab    Heuristic : 9.5
word : lei anchor( col :  8 row : 6 ) score : 7 new tiles : lei    Heuristic : 4
word : li anchor( col :  8 row : 6 ) score : 6 new tiles : li    Heuristic : 4.5
word : lice anchor( col :  8 row : 6 ) score : 10 new tiles : lice    Heuristic : 4
word : lib anchor( col :  8 row : 6 ) score : 9 new tiles : lib    Heuristic : 10.5
word : lie anchor( col :  8 row : 6 ) score : 7 new tiles : lie    Heuristic : -0.5
word : lo anchor( col :  8 row : 6 ) score : 5 new tiles : lo    Heuristic : 3.5
word : loci anchor( col :  8 row : 6 ) score : 9 new tiles : loci    Heuristic : 7.5
word : lob anchor( col :  8 row : 6 ) score : 8 new tiles : lob    Heuristic : 9.5
