******HUMAN TURN******

******HUMAN RESULT******
RACK : AXQDRZK

HUMAN MOVE : ad , new tiles : ad , score : 6 , direction : 2 , col : 7 , row : 8


******COMPUTER TURN******
RACK : btocge*

word : outbeg anchor( col :  7 row : 5 ) score : 18 new tiles : outbeg    Heuristic : 17.5
word : den anchor( col :  9 row : 7 ) score : 3 new tiles : n    Heuristic : 0.5
word : dev anchor( col :  9 row : 7 ) score : 3 new tiles : v    Heuristic : 0.5
word : dew anchor( col :  9 row : 7 ) score : 3 new tiles : w    Heuristic : 0.5
word : dex anchor( col :  9 row : 7 ) score : 3 new tiles : x    Heuristic : 0.5
word : dey anchor( col :  9 row : 7 ) score : 3 new tiles : y    Heuristic : 0.5
word : ado anchor( col :  7 row : 8 ) score : 4 new tiles : o    Heuristic : 25.5
word : add anchor( col :  7 row : 8 ) score : 3 new tiles : d    Heuristic : 0.5
word : ado anchor( col :  7 row : 8 ) score : 4 new tiles : o    Heuristic : 1.5
word : ads anchor( col :  7 row : 8 ) score : 3 new tiles : s    Heuristic : 0.5
word : adz anchor( col :  7 row : 8 ) score : 3 new tiles : z    Heuristic : 0.5
word : neb anchor( col :  8 row : 8 ) score : 8 new tiles : b    Heuristic : 34.5
word : net anchor( col :  8 row : 8 ) score : 4 new tiles : t    Heuristic : 27
word : neg anchor( col :  8 row : 8 ) score : 6 new tiles : g    Heuristic : 31
word : nee anchor( col :  8 row : 8 ) score : 4 new tiles : e    Heuristic : 20
word : neb anchor( col :  8 row : 8 ) score : 8 new tiles : b    Heuristic : 5.5
word : ned anchor( col :  8 row : 8 ) score : 2 new tiles : d    Heuristic : -0.5
word : nee anchor( col :  8 row : 8 ) score : 4 new tiles : e    Heuristic : 1.5
word : nef anchor( col :  8 row : 8 ) score : 2 new tiles : f    Heuristic : -0.5
word : neg anchor( col :  8 row : 8 ) score : 6 new tiles : g    Heuristic : 3.5
word : nek anchor( col :  8 row : 8 ) score : 2 new tiles : k    Heuristic : -0.5
word : nep anchor( col :  8 row : 8 ) score : 2 new tiles : p    Heuristic : -0.5
word : net anchor( col :  8 row : 8 ) score : 4 new tiles : t    Heuristic : 1.5
word : new anchor( col :  8 row : 8 ) score : 2 new tiles : w    Heuristic : -0.5
word : on anchor( col :  6 row : 5 ) score : 2 new tiles : o    Heuristic : -1.5
word : bon anchor( col :  6 row : 5 ) score : 5 new tiles : bo    Heuristic : 6
word : ebon anchor( col :  6 row : 5 ) score : 6 new tiles : ebo    Heuristic : 1
word : ton anchor( col :  6 row : 5 ) score : 3 new tiles : to    Heuristic : 0.5
word : beton anchor( col :  6 row : 5 ) score : 10 new tiles : beto    Heuristic : 6
word : con anchor( col :  6 row : 5 ) score : 5 new tiles : co    Heuristic : 3
word : gon anchor( col :  6 row : 5 ) score : 4 new tiles : go    Heuristic : 3.5
word : eon anchor( col :  6 row : 5 ) score : 3 new tiles : eo    Heuristic : -6.5
word : non anchor( col :  6 row : 5 ) score : 3 new tiles : no    Heuristic : 0
word : en anchor( col :  6 row : 5 ) score : 2 new tiles : e    Heuristic : -7
word : bad anchor( col :  7 row : 5 ) score : 6 new tiles : b    Heuristic : 7.5
word : badge anchor( col :  7 row : 5 ) score : 9 new tiles : bge    Heuristic : 7.5
word : bade anchor( col :  7 row : 5 ) score : 7 new tiles : be    Heuristic : 2.5
word : tad anchor( col :  7 row : 5 ) score : 4 new tiles : t    Heuristic : 2
word : cad anchor( col :  7 row : 5 ) score : 6 new tiles : c    Heuristic : 4.5
word : gad anchor( col :  7 row : 5 ) score : 5 new tiles : g    Heuristic : 5
word : one anchor( col :  8 row : 5 ) score : 3 new tiles : o    Heuristic : -0.5
word : ene anchor( col :  8 row : 5 ) score : 3 new tiles : e    Heuristic : -6
word : nane anchor( col :  9 row : 6 ) score : 6 new tiles : e    Heuristic : -3
word : el anchor( col :  9 row : 6 ) score : 6 new tiles : e    Heuristic : -3
word : delt anchor( col :  10 row : 7 ) score : 5 new tiles : t    Heuristic : 3
word : delo anchor( col :  10 row : 7 ) score : 5 new tiles : o    Heuristic : 1.5
word : dele anchor( col :  10 row : 7 ) score : 5 new tiles : e    Heuristic : -4
word : ado anchor( col :  7 row : 8 ) score : 4 new tiles : o    Heuristic : 0.5
word : neb anchor( col :  8 row : 8 ) score : 8 new tiles : b    Heuristic : 9.5
word : net anchor( col :  8 row : 8 ) score : 4 new tiles : t    Heuristic : 2
word : neg anchor( col :  8 row : 8 ) score : 6 new tiles : g    Heuristic : 6
word : nee anchor( col :  8 row : 8 ) score : 4 new tiles : e    Heuristic : -5
word : lo anchor( col :  9 row : 8 ) score : 2 new tiles : o    Heuristic : -1.5
word : no anchor( col :  10 row : 6 ) score : 2 new tiles : n    Heuristic : -15
word : non anchor( col :  10 row : 6 ) score : 3 new tiles : nn    Heuristic : -10.5
word : on anchor( col :  10 row : 8 ) score : 2 new tiles : n    Heuristic : -15
word : be anchor( col :  6 row : 5 ) score : 12 new tiles : be    Heuristic : 3.5
word : te anchor( col :  6 row : 5 ) score : 6 new tiles : te    Heuristic : -6
word : ne anchor( col :  6 row : 5 ) score : 6 new tiles : ne    Heuristic : -3.5
word : et anchor( col :  6 row : 5 ) score : 8 new tiles : et    Heuristic : -4
word : en anchor( col :  6 row : 5 ) score : 2 new tiles : e    Heuristic : -11
word : bad anchor( col :  7 row : 5 ) score : 6 new tiles : b    Heuristic : 3.5
word : tad anchor( col :  7 row : 5 ) score : 4 new tiles : t    Heuristic : -2
word : cad anchor( col :  7 row : 5 ) score : 6 new tiles : c    Heuristic : 0.5
word : gad anchor( col :  7 row : 5 ) score : 5 new tiles : g    Heuristic : 1
word : ene anchor( col :  8 row : 5 ) score : 3 new tiles : e    Heuristic : -10
word : ne anchor( col :  11 row : 6 ) score : 2 new tiles : e    Heuristic : -11
word : neb anchor( col :  8 row : 8 ) score : 8 new tiles : b    Heuristic : 5.5
word : net anchor( col :  8 row : 8 ) score : 4 new tiles : t    Heuristic : -2
word : neg anchor( col :  8 row : 8 ) score : 6 new tiles : g    Heuristic : 2
word : nee anchor( col :  8 row : 8 ) score : 4 new tiles : e    Heuristic : -9
word : ne anchor( col :  11 row : 8 ) score : 2 new tiles : e    Heuristic : -11
